"longitude","latitude","time","value"
168.375,-44.375,12784,0.610614061355591
168.875,-44.375,12784,11.0797080993652
169.125,-44.375,12784,8.95242786407471
169.375,-44.375,12784,14.8880586624146
169.625,-44.375,12784,15.0776147842407
169.875,-44.375,12784,9.64691543579102
170.125,-44.375,12784,6.87617301940918
170.375,-44.375,12784,7.40753841400146
170.625,-44.375,12784,6.8559947013855
170.875,-44.375,12784,6.08739137649536
171.125,-44.375,12784,2.57535743713379
171.375,-44.375,12784,0.661484062671661
-176.625,-44.125,12784,9.21017074584961
-176.375,-44.125,12784,8.83825588226318
-68.625,-44.125,12784,0.665741860866547
-68.375,-44.125,12784,0.517171263694763
-68.125,-44.125,12784,0.317928671836853
-67.875,-44.125,12784,0.792629539966583
-67.625,-44.125,12784,0.781509041786194
-67.375,-44.125,12784,0.674742460250854
-67.125,-44.125,12784,0.223806500434875
-66.875,-44.125,12784,0.0759092420339584
-66.625,-44.125,12784,0.0874284952878952
-65.375,-44.125,12784,0.406908124685287
168.375,-44.125,12784,0.906314849853516
168.625,-44.125,12784,0.360091090202332
168.875,-44.125,12784,2.02695155143738
169.125,-44.125,12784,0.716295838356018
169.375,-44.125,12784,6.28171730041504
169.625,-44.125,12784,9.5180721282959
169.875,-44.125,12784,8.04050254821777
170.125,-44.125,12784,5.95854234695435
170.375,-44.125,12784,3.47209477424622
170.625,-44.125,12784,3.03402280807495
170.875,-44.125,12784,2.69103813171387
171.125,-44.125,12784,0.792581856250763
171.375,-44.125,12784,1.37553572654724
171.625,-44.125,12784,2.100177526474
-176.875,-43.875,12784,8.0558443069458
-176.625,-43.875,12784,7.70798587799072
-176.375,-43.875,12784,7.32799911499023
-68.625,-43.875,12784,0.160170748829842
-68.375,-43.875,12784,0.229116216301918
-68.125,-43.875,12784,0.83012717962265
-67.875,-43.875,12784,1.72936129570007
-67.625,-43.875,12784,1.54570758342743
-67.375,-43.875,12784,0.688413798809052
-67.125,-43.875,12784,0.148191526532173
-66.125,-43.875,12784,0.16059997677803
-65.625,-43.875,12784,0.252393543720245
-65.375,-43.875,12784,1.3852105140686
169.125,-43.875,12784,0.190828189253807
170.125,-43.875,12784,2.54658508300781
170.375,-43.875,12784,4.35826539993286
170.625,-43.875,12784,1.7192987203598
170.875,-43.875,12784,4.69045257568359
171.125,-43.875,12784,4.3650016784668
171.375,-43.875,12784,3.92645359039307
171.625,-43.875,12784,2.64906120300293
171.875,-43.875,12784,2.53659844398499
172.125,-43.875,12784,2.66969561576843
172.375,-43.875,12784,0.857585370540619
-176.625,-43.625,12784,3.47342133522034
-68.375,-43.625,12784,0.226230099797249
-68.125,-43.625,12784,1.52723908424377
-67.875,-43.625,12784,1.80958592891693
-67.625,-43.625,12784,1.57282400131226
-67.375,-43.625,12784,1.82043778896332
-67.125,-43.625,12784,1.69223415851593
-66.875,-43.625,12784,0.503922760486603
-66.375,-43.625,12784,0.0730074569582939
-66.125,-43.625,12784,0.885795950889587
-65.875,-43.625,12784,0.432294994592667
-65.625,-43.625,12784,0.150612339377403
-65.375,-43.625,12784,1.49358022212982
170.125,-43.625,12784,0.308775514364243
170.375,-43.625,12784,0.880408048629761
170.625,-43.625,12784,2.63406705856323
170.875,-43.625,12784,8.38858604431152
171.125,-43.625,12784,4.77054882049561
171.375,-43.625,12784,3.07601523399353
171.625,-43.625,12784,2.5743579864502
171.875,-43.625,12784,3.39058876037598
172.125,-43.625,12784,2.0934591293335
